作物,部位,病害虫の種別,クラス名
トマト,果実,虫害,アザミウマ類
トマト,果実,病害,灰色かび病
トマト,果実,健全,健全
トマト,果実,虫害,オオタバコガ
トマト,葉,虫害,アブラムシ類
トマト,葉,虫害,アザミウマ類
トマト,葉,虫害,ハモグリバエ類
トマト,葉,虫害,ハスモンヨトウ
トマト,葉,健全,健全
トマト,葉,虫害,コナジラミ類
トマト,葉,虫害,トマトサビダニ
トマト,葉,病害,青枯病
トマト,葉,病害,疫病
トマト,葉,病害,灰色かび病
トマト,葉,病害,葉かび病
トマト,葉,病害,かいよう病
トマト,葉,病害,褐色輪紋病
トマト,葉,病害,黄化葉巻病
トマト,葉,病害,すすかび病
トマト,葉,病害,うどんこ病
イチゴ,花,虫害,アザミウマ類
イチゴ,花,健全,健全
イチゴ,果実,虫害,アブラムシ類
イチゴ,果実,虫害,アザミウマ類
イチゴ,果実,虫害,チャノホコリダニ
イチゴ,果実,病害,灰色かび病
イチゴ,果実,健全,健全
イチゴ,果実,病害,うどんこ病
イチゴ,葉,虫害,アブラムシ類
イチゴ,葉,虫害,アザミウマ類
イチゴ,葉,虫害,ハダニ類
イチゴ,葉,虫害,ハスモンヨトウ
イチゴ,葉,健全,健全
イチゴ,葉,虫害,コナジラミ類
イチゴ,葉,病害,うどんこ病
イチゴ,葉,病害,灰色かび病
イチゴ,葉,病害,萎黄病
イチゴ,葉,病害,炭疽病
イチゴ,葉,病害,うどんこ病
キュウリ,花,虫害,アブラムシ類
キュウリ,花,病害,灰色かび病
キュウリ,花,健全,健全
キュウリ,果実,虫害,アブラムシ類
キュウリ,果実,健全,健全
キュウリ,葉,虫害,アブラムシ類
キュウリ,葉,虫害,アザミウマ類
キュウリ,葉,虫害,チャノホコリダニ
キュウリ,葉,虫害,ハダニ類
キュウリ,葉,虫害,ハモグリバエ類
キュウリ,葉,虫害,ハスモンヨトウ
キュウリ,葉,健全,健全
キュウリ,葉,虫害,コナジラミ類
キュウリ,葉,病害,べと病
キュウリ,葉,病害,斑点細菌病
キュウリ,葉,病害,褐斑病
キュウリ,葉,病害,CCYV
キュウリ,葉,病害,MYSV
キュウリ,葉,病害,べと病
キュウリ,葉,病害,斑点細菌病
キュウリ,葉,病害,褐斑病
キュウリ,葉,病害,モザイク病
キュウリ,葉,病害,つる枯病
キュウリ,葉,病害,うどんこ病
ナス,果実,虫害,チャノホコリダニ
ナス,果実,病害,灰色かび病
ナス,果実,健全,健全
ナス,果実,病害,褐色腐敗病
ナス,果実,虫害,コナカイガラムシ類
ナス,果実,虫害,オオタバコガ
ナス,葉,虫害,アブラムシ類
ナス,葉,虫害,アザミウマ類
ナス,葉,虫害,チャノホコリダニ
ナス,葉,虫害,ハダニ類
ナス,葉,虫害,ハモグリバエ類
ナス,葉,虫害,ハスモンヨトウ
ナス,葉,健全,健全
ナス,葉,虫害,コナジラミ類
ナス,葉,虫害,コナカイガラムシ類
ナス,葉,病害,すすかび病
ナス,葉,虫害,ニジュウヤホシテントウ
ナス,葉,病害,青枯病
ナス,葉,病害,灰色かび病
ナス,葉,病害,半身萎凋病
ナス,葉,病害,褐色円星病
ナス,葉,病害,すすかび病
ナス,葉,病害,うどんこ病

